Name,Company,Level Audition,Re-Evaluation,note,ep1,ep2,ep3,ep5,ep6,ep8,ep10,ep11
mengmeiqi,Yuehua Entertainment,A,A,,16,6,4,1,1,1,-,-
yangchaoyue,Wen Lan Culture,C,F,,4,3,3,4,2,2,-,-
wuxuanyi,Yuehua Entertainment,B,A,,5,1,1,2,3,3,-,-
guoying,JC Universe Entertainment,A,A,,1,2,2,3,4,4,-,-
duanaojuan,Dragon Dance Cultural,B,C,,3,4,6,6,8,5,-,-
liziting,Huaying Yixing,B,A,,11,11,11,11,6,6,-,-
zining,Mavericks Entertainment,A,A,,47,23,18,5,5,7,-,-
yangyunqing,Comic Communication Lead Culture Media,A,B,,6,7,7,8,7,8,-,-
fujing,Banana Culture,B,A,,8,8,10,9,9,9,-,-
qiangdongyue,Banana Culture,A -> B,B,,2,5,5,7,10,10,-,-
gaoqiuzi,Zimeitao Entertainment,D,D,,21,18,20,13,11,11,-,-
gaoyingxi,SDT Entertainment,C,A,,-,31,29,15,12,12,-,-
lizixuan,OACA,B,A,,12,10,9,10,13,13,-,-
laimeiyun,Qigu Culture,B,B,,18,17,16,12,14,14,-,-
liurenyu,ETM 活力r代,A,A,,24,22,22,14,15,15,-,-
xumengjie,Zimeitao Entertainment,C,C,,13,15,15,16,16,16,-,-
qiyandi,Huayi Brothers,B,C,,55,45,27,19,17,17,-,-
zhaoyaoke,Comic Communication Lead Culture Media,F,D,,17,12,12,18,18,18,-,-
chenfangyu,Universal Music,A,B,,7,13,8,17,21,19,-,-
lvxiaoyu,Mango Entertainment,A,A,,35,20,19,20,22,20,-,-
wangmohan,Donglun Media,D,C,,33,35,49,25,19,21,-,-
jiaomanting,Junos Entertainment,F,D,,19,19,24,28,20,22,-,-
wangju,Individual Trainee (Esee Model Management),C,C,,-,94,90,55,36,23,-,-
wuqianying,SDT Entertainment,B,A,,-,33,33,22,24,24,-,-
jiangshen,Qigu Culture,C,C,,56,46,59,38,26,25,-,-
wuyingxiang,T-Trainee,A,B,,14,16,17,29,25,26,-,-
weijin,JC Universe  Entertainment,B,B,,39,30,32,32,32,27,-,-
luxiaocao,Ividea Entertainment,D,F,,27,32,36,21,23,28,-,-
suruiqi,ETM 活力r代,C,B,,78,29,28,39,29,29,-,-
luoyitian,JC Universe  Entertainment,C,C,,60,38,37,33,27,30,-,-
xujingyun,Emperor Entertainment Group,A,C,,32,36,54,23,28,31,-,-
luoyijia,ETM 活力r代,B,B,,44,27,23,36,31,32,-,-
fanwei,YY Media,C,C,,22,24,26,24,30,33,-,-
wangting,Poodoo Entertainment,F,B,,50,52,45,31,43,34,-,-
chenyihan,Joy Music Culture,C,F,,20,26,31,35,37,35,-,-
liudanmeng,Na Zhu Entertainment,B,B,,38,34,38,43,34,36,-,-
dujinyu,JC Universe  Entertainment,C,C,,59,37,44,46,38,37,-,-
zhutiantian,Super Jet Entertainment,B,F,,90,88,35,45,40,38,-,-
wangqing,Comic Communication Lead Culture Media,B,C,,9,9,13,27,33,39,-,-
reyinuo,Esee Model Management,A,F,,-,21,21,26,35,40,-,-
yumeihong,Comic Communication Lead Culture Media,C,F,,25,28,30,30,39,41,-,-
liunian,"AKS Co., Ltd",C,F,,61,48,63,47,41,42,-,-
gejiahui,Individual Trainee,D,C,,10,14,14,34,42,43,-,-
chouchou (tanchuran),JC Universe  Entertainment,B,B,,58,42,43,37,44,44,-,-
julin,Dream Makers Films,D,F,,71,81,50,42,45,45,-,-
liudexi,Super Jet Entertainment,B,C,,37,74,53,57,53,46,-,-
jiangjinger,Yuehua Entertainment,C,B,,40,40,52,41,46,47,-,-
gouxueying,Poodoo Entertainment,D,D,,69,66,47,40,47,48,-,-
yangbing,Z-Cherry,D,F,,26,54,55,49,48,49,-,-
luozhiyi,JC Universe  Entertainment,B,B,,70,39,41,44,49,50,-,-
zhangxi,Yuehua Entertainment,B,B,,42,43,42,48,50,51,-,-
shaoximengnuo,Yuehua Entertainment,B,B,,52,69,40,51,51,52,-,-
maxingyu,ETM 活力r代,D,F,,28,25,25,58,55,53,-,-
liusi?,YY Media,D,D,,76,41,34,50,52,54,-,-
zhangchuhan,Hua Kai Ban Xia  Cultural Media,F,C,,31,57,48,52,56,55,-,-
xiangyuxing,YY Media,C,F,,30,64,46,56,58,56,-,-
wuqian,YY Media,D,C,,74,78,51,54,57,57,-,-
yinrui,JXJY Media,F,C,,45,50,39,53,54,58,-,-
zhangxinlei,Momo Live,F,F,,57,65,56,-,-,-,-,-
chenyingyan,Comic Communication Lead Culture Media,C,D,,34,44,57,-,-,-,-,-
jiangyanxi,Hua Kai Ban Xia  Cultural Media,D,D,,80,87,58,-,-,-,-,-
zhouxue,Ronyi Culture,F,C,,53,49,60,-,-,-,-,-
wuxiaoxuan,Hua Kai Ban Xia  Cultural Media,F,D,,88,51,61,-,-,-,-,-
zhangjingxuan,ETM 活力r代,D,F,,95,53,62,-,-,-,-,-
zhangxinyue,Lajin Entertainment,B,D,,36,47,64,-,-,-,-,-
zhangxinjie,Hua Kai Ban Xia  Cultural Media,D,F,,79,82,65,-,-,-,-,-
renzhen,Yi Media,D,D,,73,63,66,-,-,-,-,-
niqiuyun,OACA,B,C,,65,58,67,-,-,-,-,-
yangruihan,Yuehua Entertainment,C,B,,83,79,68,-,-,-,-,-
yangmeiqi,Wen Lan Culture,F,D,,54,55,69,-,-,-,-,-
maoweijia,"AKS Co., Ltd",D,D,,64,59,70,-,-,-,-,-
linjunyi,OACA,A,B,,46,56,71,-,-,-,-,-
linjiaan,C.Y.Studio,C,B,,62,62,72,-,-,-,-,-
shaoxia,Dream Makers Films,F,C,,92,80,73,-,-,-,-,-
wangyue,Mavericks Entertainment,C,D,,51,60,74,-,-,-,-,-
xushiyin,Qigu Culture,D,F,,72,76,75,-,-,-,-,-
panjunya,Yuehua Entertainment,C,C,,63,72,76,-,-,-,-,-
wangyalin,ETM 活力r代,C,D,,85,73,77,-,-,-,-,-
huyueer,Yi Media,D,D,,67,68,78,-,-,-,-,-
ruimeng,Mavericks Entertainment,D,F,,29,61,79,-,-,-,-,-
litianyun,Checkmate Entertainment,D,D,,43,67,80,-,-,-,-,-
chenyifan,YY Media,D,D,,66,70,81,-,-,-,-,-
chenyuyan,Z-Cherry,C,B,,41,71,82,-,-,-,-,-
wangyiran,Banana Culture,B,B,,81,83,83,-,-,-,-,-
xiashijie,Z-Cherry,F,C,,48,75,84,-,-,-,-,-
liuyushan,HIM International Music,F,D,,84,86,85,-,-,-,-,-
zhujiaxi,H&R Century Pictures,D,D,,49,77,86,-,-,-,-,-
yangmeiling,Wen Lan Culture,D,F,,75,84,87,-,-,-,-,-
liuniyi,Banana Culture,C,C,,77,85,88,-,-,-,-,-
handan,Zimeitao Entertainment,D,D,,91,89,89,-,-,-,-,-
yinrouyi,H&R Century Pictures,D,F,,86,90,91,-,-,-,-,-
luotianshu,Individual Trainee,C,C,,82,91,92,-,-,-,-,-
yanghan,Checkmate Entertainment,C,B,,89,93,93,-,-,-,-,-
liujiaying,Rhonin Studio,D,C,,87,92,94,-,-,-,-,-
wuyunting (baoer),HIM International Music,D,D,,94,95,95,-,-,-,-,-
wangmanjun,Banana Culture,C,D,,96,96,96,-,-,-,-,-
zhangyuwen,Rhonin Studio,B,D,,99,98,97,-,-,-,-,-
yankexin,ETM 活力r代,C,D,,97,97,98,-,-,-,-,-
wangjuemeng,Lajin Entertainment,C,D,,100,99,99,-,-,-,-,-
qiuluqing,H&R Century Pictures,D,F,,101,100,100,-,-,-,-,-
Cindy,Real Show,F,F,,15,-,-,-,-,-,-,-
Abby,Real Show,F,F,,23,-,-,-,-,-,-,-
Dora,Real Show,F,F,,68,-,-,-,-,-,-,-
zhengchengcheng,Comic Communication Lead Culture Media,C,F,,93,-,-,-,-,-,-,-
zhaoling,Wen Lan Culture,F,F,,98,-,-,-,-,-,-,-
